N,episodes,completed,completion_rate,mean_virtual_s,mean_per_source_s,median_per_source_s,p95_per_source_s,min_virtual_s,max_virtual_s
10,1000,1000,1.0,9971.694372527,997.1694372527,972.4349117500001,1225.78737609,8269.359091,15594.448241
11,1000,1000,1.0,10008.586821601,909.8715292364545,886.4495812727272,1111.8293134272726,8039.888607,16247.781361
12,1000,1000,1.0,10042.788792243,836.89906602025,812.99157675,1050.2385669874998,7974.295812,18278.116528
13,1000,1000,1.0,10082.011196549,775.5393228114615,753.9943990384616,982.9068770846151,7817.762258,18725.556081
14,1000,1000,1.0,10076.50196161,719.750140115,701.6734205,923.0799828642857,7738.11336,16742.78267
15,1000,1000,1.0,10160.012090471,677.3341393647333,656.5148857333334,911.0583597233333,7480.095175,20364.138428
16,1000,1000,1.0,7166.792343862001,447.92452149137506,451.842252875,800.3446180499999,1248.899913,18963.164731
