path,format,bytes,sha256,role
results/training/import-3ddb2d9/runs/q3_joint_20260912/test_distribution.png,png,80634,b2ba297d5b14e81d6028b57764840ad9cd2496bad405fc9018599ffa8fd61698,历史原始图件
results/training/import-3ddb2d9/runs/q3_joint_20260912/validation_curve.png,png,83351,99a12513cad93fdfa25b578506c5726a6c10842b7c733cac71d1f36874f2a295,历史原始图件
results/training/import-3ddb2d9/runs/q4_3000_test_20260911/per_source_time_distribution.png,png,62006,3594663ec188e70cb23c8bb2ef95e06ec48888e1e1048c47019037b4b947f43f,历史原始图件
results/training/import-3ddb2d9/runs/q4_repaired_20260912/per_source_distribution.pdf,pdf,28086,fcbbb6bf4b4e06ef092631f3244d2b9da0d7e1b7e47cc1ddb6ee1fb894adf31e,历史原始图件
results/training/import-3ddb2d9/runs/q4_repaired_20260912/per_source_distribution.png,png,112555,733264fd95d17ba4fbef865d28fbefc0b4b04fea21fa611424410d57f12565bc,历史原始图件
results/training/import-3ddb2d9/runs/q4_repaired_20260912/training_curve.png,png,101648,79db7d540530e50966d23199a58acb53bc8c6ef4ce4c08eb04ba619d9619cf23,历史原始图件
results/validation/LIT-Q2-01/consistent-example/q2.pdf,pdf,27191,e689c5b0b2f167369fe46203ba901d4379ca5b450302407316eab344fcd10499,历史原始图件
results/validation/LIT-Q2-01/consistent-example/q2.png,png,158392,a8c8cc0f9eecab2bdc8efddaa8e778accaa35ccb17903d806116b3a12bb66eb9,历史原始图件
results/validation/import-c457828/artifacts/q1/crossing/geometry.pdf,pdf,15966,0c7456583719dc38dc4bb43402c0bd94c02d85bf4abf5c2de3468840c61f28c6,历史原始图件
results/validation/import-c457828/artifacts/q1/crossing/geometry.png,png,118770,91c58d9ed82e80859ba669956c3e6acec005483553865cca9aca29da6a558d2c,历史原始图件
results/validation/import-c457828/artifacts/q1/triangle/geometry.pdf,pdf,15739,6c9898cfe054b2027ff09313b287ae860ce6cdd9af4ee322d6e04c7d8aa4d1df,历史原始图件
results/validation/import-c457828/artifacts/q1/triangle/geometry.png,png,104682,efe3bba50c8de8d612385cfaca568acf7172244a4365dab1c2954c3247714851,历史原始图件
results/validation/import-c457828/artifacts/q2/example/q2.pdf,pdf,26483,80c5f6a5ca942eb56917a4f8fb687748317e0c36e6bbf611299aab8d96d2b7f6,历史原始图件
results/validation/import-c457828/artifacts/q2/example/q2.png,png,154930,6d5f1c89af5b16c3977e65446e5b5f1c9203f5f152b8f54a550e9c247fc1dafd,历史原始图件
results/validation/integration-3ddb2d9/smoke-paired/per_source_distribution.pdf,pdf,16928,b0b10d193c5e1af35ad58f262b35a929ba09419808d9cd87a1fd9cc045bd116d,历史原始图件
results/validation/integration-3ddb2d9/smoke-paired/per_source_distribution.png,png,90523,663fc18d5619ad9b0836253489047315265b2e77493acf17e5994c1d5c5b00d2,历史原始图件
results/validation/integration-c457828/q1/geometry.pdf,pdf,15739,e050e90c6687743322c89dd3198e90bde0c19febfd7414d2387b2a3289fd2451,历史原始图件
results/validation/integration-c457828/q1/geometry.png,png,104682,bba25c515a3a40c91d958c5f2b6053bf82c4b6b19d12b88e791c566f062c2fc0,历史原始图件
results/validation/integration-c457828/q2/q2.pdf,pdf,26477,9a3bdda84aced4065d5b2893ddee7a85e1aba2d2c7828ba664d9906d4f1bd217,历史原始图件
results/validation/integration-c457828/q2/q2.png,png,154930,78a02832a179a4d940a65cfc61e64f2aff41961f522a98ef654ce072435d5654,历史原始图件
results/validation/q3-3000-9e10994/per_source_time_distribution.png,png,66102,8e50728730ba82a2eaaf23f9bee786f182fa4595bbfbb38c31ac8a4d8ab53258,历史原始图件
