path,bytes,sha256,role
results/training/import-4d75bee/large_20260911/q3_gpu3/latest.pt,4294019,5374fca2486992368c5a1dfca2a243060f0e54e2dfea5e8481f7e8ad299d1a50,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu4_retry/bc.pt,4021219,c2cb161aca07a7d6b2e72f12e7f610fd42a6b1c1cfeebb5557d63ef78eb9a6df,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu4_retry/best.pt,4342665,94203de04e64d3b563d98e113257c1c94d5b601c9a99d3e6bfb76132653e13fa,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu4_retry/dagger.pt,4026343,2b46d65b463f9a6a81b6b9f3166c106f5a61f7589fdfbe572ea0424dbd7c9641,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu4_retry/latest.pt,4293955,c67ca341700ae8bf4b62ae5589b75062ef8647737f68bd7cdb45720a35d5a40c,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu5_retry/bc.pt,4021155,c2f6c70eec311cbd84dd1fc7428dd0c306952ce4ce118e05cb44ad0a739cad12,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu5_retry/best.pt,4342665,75f43633015c2ed567b6294814de4170464d487d22b20f13d857884b9bbd664d,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu5_retry/dagger.pt,4026343,36f361d2f1ddbcc6167d71664fd2ca4e9303e03d2a0b0e390e46d1f40a3cb067,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu5_retry/latest.pt,4293955,4cf6f55183e2eca256d500bc3b18db9c049dda27b2aae79e38a8958e71079ca1,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu6_retry/bc.pt,4021219,20884e1dafd07295bcde16063edf690c2bdbd1326db8b43529ef831afefa755c,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu6_retry/best.pt,4342665,27ba7dbd8a27f7e6a0e1a3b12b862890b1d29bdef52c19d51cc0531a579d8a06,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu6_retry/dagger.pt,4026343,a7b555b0e9be2c34b5326359815ac2d447eb9352f5e11f6fddf5f64958f0ea07,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu6_retry/latest.pt,4293955,d73dfa2220ee9503735d1e8d0470b315f357de61e7cb7482337fe5a4411f8a9f,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu7_retry/bc.pt,4021219,07f42385a38d6adc04747d9b3bcfb3cc0a10370ff5dd0c052fc0fc49f5c82a09,其他阶段或历史归档；按原批次使用
