problem,baseline,candidate,pairs,mean_delta_virtual_s,ci95_low_s,ci95_high_s,reduction_mean_virtual_percent,mean_delta_per_source_s,ci95_low_per_source_s,ci95_high_per_source_s,reduction_mean_per_source_percent,faster,tied,slower
3,q3_baseline,q3_candidate,3000,-14.318309505000002,-19.25065073940607,-9.385968270593935,0.4291111807456968,-1.055009527231504,-1.41073195076807,-0.6992871036949382,0.4031529871895051,1651,427,922
4,q4_baseline,q4_best,3000,-308.35064282033335,-343.2510600470998,-273.45022559356687,3.0267847207018534,-22.155353444306122,-24.613292214970258,-19.697414673641987,2.74707069218878,1888,0,1112
