index,x_m,y_m,guaranteed_receive,score_J_s,sampled_posterior_radius_m
0,534.0921606599145,-216.83780793844392,True,395.697757710265,147.20856596139262
1,534.0921606599145,-43.3675615876889,True,483.9899838719519,347.8575964053041
2,534.0921606599145,130.10268476306624,True,416.39510114299605,204.7569709604855
3,567.7267745259222,-216.83780793844392,True,392.3728629862188,141.33980644867796
4,567.7267745259222,-43.3675615876889,True,477.98680418364677,336.20159025592994
5,567.7267745259222,130.10268476306624,True,412.2118027068453,196.66561442459
6,601.36138839193,-390.30805428919894,True,393.78043729619236,90.88614930042098
7,601.36138839193,-216.83780793844392,True,389.16275563895135,135.4635675359306
8,601.36138839193,-43.3675615876889,True,472.1027262827686,324.5112990842217
9,601.36138839193,216.8378079384437,True,389.16275563893277,135.46356753593014
10,601.36138839193,390.3080542891988,True,393.7804372961921,90.88614930042033
11,634.9960022579377,-216.83780793844392,True,386.0698892412242,129.70462881974245
12,634.9960022579377,-43.3675615876889,True,466.4004325510071,312.9278618417122
13,634.9960022579377,130.10268476306624,True,404.19034497228347,181.0285625568037
14,634.9960022579377,390.3080542891988,True,390.99567277492025,87.29300891294596
15,668.6306161239454,-390.30805428919894,True,388.8348115774528,83.69569100208719
16,668.6306161239454,-216.83780793844392,True,383.07272982988593,123.99185381048919
17,668.6306161239454,43.36756158768867,True,460.32316362452804,301.10901840538867
18,668.6306161239454,216.8378079384437,True,383.0727298298619,123.99185381048918
19,668.6306161239454,390.3080542891988,True,388.83481157745314,83.69569100208761
20,702.2652299899531,-477.0431774645765,True,400.78584127397914,71.03938330039345
21,702.2652299899531,-303.5729311138214,True,379.03053830991155,94.36857723024552
22,702.2652299899531,-43.3675615876889,True,454.4334762251182,289.3487388842634
23,702.2652299899531,130.10268476306624,True,396.3885760438685,165.66207627755088
24,702.2652299899531,303.57293111382126,True,379.0305383100144,94.36857723024573
25,702.2652299899531,563.7783006399537,True,418.33270310179313,64.96078854938193
26,735.8998438559609,-477.0431774645765,True,399.57947784013896,68.21790834323853
27,735.8998438559609,-303.5729311138214,True,376.86157103598293,90.15266339216421
28,735.8998438559609,-43.3675615876889,True,448.7009456928557,277.60714820616363
29,735.8998438559609,130.10268476306624,True,392.5058716240486,157.93589469892632
30,735.8998438559609,303.57293111382126,True,376.8615710359831,90.15266339216443
31,735.8998438559609,563.7783006399537,True,417.2654016487875,62.52500743529797
32,769.5344577219687,-477.0431774645765,True,403.95419001956003,65.34760801829553
33,769.5344577219687,-216.83780793844392,True,382.5699609836715,107.58623262450766
34,769.5344577219687,-43.3675615876889,True,449.88577913652904,265.8482892618168
35,769.5344577219687,130.10268476306624,True,396.32417406214734,150.41396340032594
36,769.5344577219687,390.3080542891988,True,390.86893347691796,73.29656456248493
37,769.5344577219687,563.7783006399537,True,420.8439055349413,60.17613079027833
38,803.1690715879763,-477.0431774645765,True,414.11675390621366,62.67703816035581
39,803.1690715879763,-216.83780793844392,True,392.8469153109537,102.1701442455455
40,803.1690715879763,-43.3675615876889,True,457.51842963933416,254.04050712211526
41,803.1690715879763,130.10268476306624,True,405.88393132184854,142.99438177898168
42,803.1690715879763,390.3080542891988,True,401.2857849507743,70.02929396486351
43,803.1690715879763,563.7783006399537,True,430.56437638967566,57.7791854163385
44,836.8036854539841,-303.5729311138214,True,403.97593437336513,77.75223105824004
45,836.8036854539841,-130.10268476306635,True,415.480978213433,135.58843602475002
46,836.8036854539841,43.36756158768867,True,464.81556663911283,242.25750917225398
47,836.8036854539841,303.57293111382126,True,403.9759343733649,77.7522310582396
48,836.8036854539841,477.0431774645764,True,424.3708835113838,59.95582821603349
49,870.4382993199919,-390.30805428919894,True,422.4534131684567,63.65294401384288
50,870.4382993199919,-130.10268476306635,True,425.0977395986895,128.23619909855313
51,870.4382993199919,43.36756158768867,True,472.50309324534453,230.45105502482258
52,870.4382993199919,216.8378079384437,True,413.6396261246265,91.71517783607713
53,870.4382993199919,477.0431774645764,True,434.8251811205197,57.39841347271842
54,904.0729131859996,-303.5729311138214,True,425.508715886316,70.05227659311036
55,904.0729131859996,-43.3675615876889,True,491.20494674105805,241.75235464832667
56,904.0729131859996,130.10268476306624,True,434.6970302040884,120.95235278109995
57,904.0729131859996,303.57293111382126,True,425.50871588631605,70.05227659311058
58,937.7075270520073,-216.83780793844392,True,434.79753106758847,81.6989490855572
