model,problem,episodes,completed,mean_virtual_s,mean_per_source_s,weighted_per_source_s,median_per_source_s,p95_per_source_s,max_virtual_s,source
q3_baseline,3,3000,3000,3336.736525978667,261.6896217454018,256.4353309236602,262.3940039153846,350.74579610772724,4968.088359,results/training/import-3ddb2d9/runs/q34_3000_test_20260912/q3_baseline_samples.json
q3_candidate,3,3000,3000,3322.4182164736662,260.6346122181703,255.33493824728453,260.85183424375,349.22209182,4961.746377,results/training/import-3ddb2d9/runs/q34_3000_test_20260912/q3_candidate_samples.json
q4_baseline,4,3000,3000,10187.399213143666,806.5083111004119,782.6226636816215,804.0607073977272,1122.2117715787879,20061.077376,results/training/import-3ddb2d9/runs/q34_3000_test_20260912/q4_baseline_samples.json
q4_best,4,3000,3000,9879.048570323333,784.3529576561057,758.9343604765563,789.2322999839744,1118.9216950374998,21618.469443,results/training/import-3ddb2d9/runs/q34_3000_test_20260912/q4_best_samples.json
