model,group,episodes,completed,mean_T_s,mean_T_per_N_s,mean_last_clear_s,mean_tail_s,mean_delta_T_s,evidence
q4_parent,baseline,3000,3000,9667.767671509,767.3506503649168,8542.776701622668,1124.9909698863335,0,results/final-20260913/q4_planning_ablation_20260913/test3000/summary.json
q4_parent,route,3000,3000,9893.001835658333,782.6295106171104,9105.084204546,787.9176311123334,225.2341641493333,results/final-20260913/q4_planning_ablation_20260913/test3000/summary.json
q4_parent,schedule,3000,3000,9675.536409567334,767.8321793030602,8504.310995668333,1171.2254138990002,7.768738058333317,results/final-20260913/q4_planning_ablation_20260913/test3000/summary.json
q4_parent,combined,3000,3000,9863.411145636,780.1430009882826,9009.804427832,853.6067178040001,195.64347412699996,results/final-20260913/q4_planning_ablation_20260913/test3000/summary.json
