N,episodes,completed,mean_virtual_s,mean_per_source_s,p95_per_source_s
10,1000,1000,3115.8544439700004,311.585444397,378.91733092
11,1000,1000,3189.017920152,289.9107200138182,351.6217799818182
12,1000,1000,3250.480135143,270.87334459525,330.286081125
13,1000,1000,3312.273139433,254.79024149484616,313.5435553307692
14,1000,1000,3383.966134602,241.71186675728572,298.54904320357144
15,1000,1000,3440.4104426760005,229.3606961784,283.7311479233333
16,1000,1000,3196.857282719,199.8035801699375,272.43517965
