seed,group,field,radius,method,available,guaranteed_receive,second_received,posterior_contains_truth,posterior_radius_m,posterior_diameter_m,posterior_area_m2,clear_ready,second_action_s,predicted_radius_m,predicted_J_s,selection_s,evaluated_candidates,completed,total_virtual_s,measures,clear_attempts,error
413000,center,zero,1000.0,on_bearing,True,True,True,True,372.6196778078806,745.1723180829117,9916.607070976635,False,155.0,375.1643866002487,476.61506948562123,0.013738257999875714,1,True,331.092085,3,1,
413000,center,zero,1000.0,fixed_flank,True,True,True,True,16.073883390195974,32.14776678039186,432.12593817860756,True,179.928557,69.22655032945929,393.86496908301024,0.010796986999821456,1,True,280.056749,2,1,
413000,center,zero,1000.0,current,True,True,True,True,14.82383085661794,29.64766171323588,259.02402118583626,True,163.967406,96.18260098245374,375.04393388595076,1.2464612930000385,129,True,227.857938,2,1,
413000,center,zero,1000.0,shape,True,True,True,True,14.596652080007662,29.193304160015323,217.9285729550594,True,161.442192,107.99659286508417,375.88194457965426,0.27580661899992265,31,True,216.737535,2,1,
413001,edge,zero,1000.0,on_bearing,True,True,True,True,144.28704690798497,288.5515065698053,1517.9715141197375,False,155.0,372.50057807665513,474.7504035191173,0.011234526000180267,1,True,226.357557,3,1,
413001,edge,zero,1000.0,fixed_flank,True,True,True,True,26.75517394341344,53.51034788682688,730.5604490266812,False,179.928557,28.861281714524193,373.400066634831,0.010034252999957971,1,True,304.002649,3,1,
413001,edge,zero,1000.0,current,True,True,True,True,58.039369902108966,116.07873980421793,1689.7121997601685,False,110.176669,69.10645820462061,266.32931631724756,1.139106972000036,129,True,238.230049,3,1,
413001,edge,zero,1000.0,shape,True,True,True,True,61.61747230419017,123.23494460838012,1691.9208876943019,False,114.074166,74.96008287391422,264.64996530339977,0.24494714800016482,31,True,232.437077,3,1,
413002,rotated,zero,1000.0,on_bearing,True,True,True,True,370.0011399387756,740.0022798775511,4957.336848511278,False,155.0,375.1708004416377,476.61955917459835,0.00842231299998275,1,True,312.957519,3,1,
413002,rotated,zero,1000.0,fixed_flank,True,True,True,True,15.952681155797618,31.905362311595226,377.4821626067075,True,179.928557,69.23326144368426,393.77472709551705,0.008057272999849374,1,True,283.039731,2,1,
413002,rotated,zero,1000.0,current,True,True,True,True,14.897663087135074,29.795326174270077,239.0093379225575,True,161.426611,99.41289454531992,375.66869124887035,1.1236449269999866,129,True,227.88758,2,1,
413002,rotated,zero,1000.0,shape,True,True,True,True,15.576609390952518,31.15321878190497,225.58572663116806,True,161.419706,107.90412610062256,375.79977810687046,0.26294202000008227,31,True,222.385572,2,1,
413003,wrap,zero,1000.0,on_bearing,True,True,True,True,370.00109328936884,740.0021855841991,4957.336864598438,False,155.0,375.1554284084945,476.60879875133486,0.008276800000203366,1,True,298.066933,3,1,
413003,wrap,zero,1000.0,fixed_flank,True,True,True,True,17.10140488573128,34.20280977146247,367.4976963815083,True,179.928557,69.19852034441496,394.1632053653403,0.00790401200015367,1,True,289.744498,2,1,
413003,wrap,zero,1000.0,current,True,True,True,True,17.368167048074373,34.736334096148646,277.4284321691063,True,161.282031,99.11688973848472,375.7390147307518,1.0063858350001738,129,True,237.574719,2,1,
413003,wrap,zero,1000.0,shape,True,True,True,True,19.334367546882575,38.66873509376505,290.33794953817437,True,162.054996,107.82538498544345,377.0213925092598,0.2423882319999393,31,True,234.691155,2,1,
413004,short_range,zero,1000.0,on_bearing,True,True,True,True,370.0011308799835,740.002261759967,4957.458357632372,False,155.0,375.15548767059386,476.60884023481566,0.007044876999998451,1,True,330.186574,3,1,
413004,short_range,zero,1000.0,fixed_flank,True,True,True,True,22.586700228760193,45.17340045752039,41.54711802601706,False,179.928557,69.19240899966441,393.96668309386,0.008793448999995235,1,True,370.692302,3,1,
413004,short_range,zero,1000.0,current,True,True,True,True,26.43166646859502,52.863332937190016,53.93071553537362,False,164.431593,91.11873073700943,376.1029155464979,1.060557031999906,129,True,338.745309,3,1,
413004,short_range,zero,1000.0,shape,True,True,True,True,31.53442881093659,63.06885762187316,72.81973677293655,False,161.968301,107.89953838492572,376.89642213194344,0.24848990200007393,31,True,333.005875,3,1,
413005,center,positive,1000.0,on_bearing,True,True,True,True,11.764811231810594,23.529622463621074,13.002600799455909,True,155.0,375.1445377085704,476.60117526142903,0.010569146000079854,1,True,168.352259,2,1,
413005,center,positive,1000.0,fixed_flank,True,True,True,True,16.379309297638002,32.75861859527594,438.36372803444556,True,179.928557,69.20463252107038,394.21474884123313,0.009528426000088075,1,True,280.163759,2,1,
413005,center,positive,1000.0,current,True,True,True,True,15.130770460637605,30.261540921275163,261.38652632859504,True,163.000392,97.12048135840547,375.22434246174555,1.1083324359999551,129,True,226.80162,2,1,
413005,center,positive,1000.0,shape,True,True,True,True,14.557444095515157,29.114888191030264,216.60888904779583,True,161.535783,108.26110551948835,376.1990008118496,0.2692116549999355,31,True,216.60099,2,1,
413006,edge,positive,1000.0,on_bearing,True,True,True,True,131.82940865946227,263.65881731892455,1194.710480405479,False,155.0,372.50054885545893,474.7503830642802,0.007827110000107496,1,True,219.38335,3,1,
413006,edge,positive,1000.0,fixed_flank,True,True,True,True,24.903667102372943,49.807334204745715,670.1391458417825,False,179.928557,28.861191827368632,373.40000645918013,0.009992011000122147,1,True,301.246955,3,1,
413006,edge,positive,1000.0,current,True,True,True,True,52.274095156130215,104.54819031226043,1421.2463260843083,False,111.223158,69.16659118387616,258.11650960308117,1.0448604860000614,129,True,230.653538,3,1,
413006,edge,positive,1000.0,shape,True,True,True,True,70.91924193654563,141.83848387309104,1632.2754196412052,False,111.428766,72.54328227128246,258.16200052344766,0.2335526630001823,31,True,228.712544,3,1,
413007,rotated,positive,1000.0,on_bearing,True,True,True,True,171.27320873302958,342.54641746605915,1105.2079059940224,False,155.0,375.1643866002503,476.61506948562175,0.009801529000014852,1,True,223.057472,3,1,
413007,rotated,positive,1000.0,fixed_flank,True,True,True,True,22.853152523892724,45.70630504778544,606.6583955532165,False,179.928557,69.1916620684287,394.0423350741952,0.010001637999948798,1,True,297.891825,3,1,
413007,rotated,positive,1000.0,current,True,True,True,True,25.88144238694007,51.76288477388011,457.4730596133717,False,161.583247,103.4664868288155,375.3936653139831,1.1023661890001222,129,True,245.32391,3,1,
413007,rotated,positive,1000.0,shape,True,True,True,True,24.978663298534197,49.957326597068395,413.4034529514237,False,161.442192,107.99659286508471,375.88194457965415,0.2505314490001638,31,True,240.837695,3,1,
413008,wrap,positive,1000.0,on_bearing,True,True,True,True,141.55629070407412,283.1125814081482,827.5963890633217,False,155.0,375.1670579232269,476.6169394116929,0.009264996999945652,1,True,232.801587,3,1,
413008,wrap,positive,1000.0,fixed_flank,True,True,True,True,17.977833093128922,35.955666186257844,365.1271387531607,True,179.928557,69.22671158222543,393.6105218095937,0.007728043000042817,1,True,294.859955,2,1,
413008,wrap,positive,1000.0,current,True,True,True,True,21.481432139067312,42.962864278134575,338.3617093459424,False,162.961311,99.0760210269812,374.98221282446,0.9608100400000694,129,True,263.666771,3,1,
413008,wrap,positive,1000.0,shape,True,True,True,True,21.573665103444085,43.14733020688812,327.17320636265566,False,161.776675,108.3196756326726,376.72761435013814,0.24784486099997594,31,True,254.981868,3,1,
413009,short_range,positive,1000.0,on_bearing,True,True,True,True,351.4759629846041,702.9519259692082,3059.567701923494,False,155.0,375.15489976761165,476.60842870272387,0.007276872999909756,1,True,324.460083,3,1,
413009,short_range,positive,1000.0,fixed_flank,True,True,True,True,27.753258803881053,55.50651760776205,137.2659160308132,False,179.928557,69.19384198996521,394.02741793363845,0.008139561999996658,1,True,367.059828,3,1,
413009,short_range,positive,1000.0,current,True,True,True,True,22.082549102583343,44.16509820516663,38.39662929602526,False,162.131506,98.1923894582613,375.4793319164954,0.9824712140000429,129,True,337.524155,3,1,
413009,short_range,positive,1000.0,shape,True,True,True,True,22.1675325395813,44.3350650791626,37.93553304538354,False,161.997566,107.8278289003513,376.9009005241052,0.2645306620001975,31,True,336.974504,3,1,
413010,center,negative,1000.0,on_bearing,True,True,True,True,59.80795782778405,119.61591565556806,205.36637734977376,False,155.0,375.1497088685784,476.6047950734393,0.010590488999923764,1,True,197.520356,3,1,
