density,weight,method,episodes,available,guaranteed,received,contains_truth,clear_ready,completed,mean_posterior_radius_m,mean_second_action_s,mean_total_virtual_s,mean_selection_s,mean_measures,mean_clear_attempts,mean_evaluated_candidates,p95_total_virtual_s
3,0.0,shape,12,12,12,12,12,0,12,204.68484237199883,142.70856725000002,239.88282191666664,0.17195204708332312,3.1666666666666665,1.0,19.0,325.2973323
3,0.5,shape,12,12,12,12,12,6,12,25.464494717641966,162.6465295,287.3257319166667,0.1744979970832977,2.5,1.0,19.0,354.60260875
3,1.0,shape,12,12,12,12,12,6,12,25.464494717641966,162.6465295,287.3257319166667,0.18598314800002905,2.5,1.0,19.0,354.60260875
5,0.0,shape,12,12,12,12,12,0,12,204.68484237199883,142.70856725000002,239.88282191666664,0.29553190683335134,3.1666666666666665,1.0,31.0,325.2973323
5,0.5,shape,12,12,12,12,12,5,12,29.809556065743223,150.6032185,255.0801750833333,0.28427718724998385,2.5833333333333335,1.0,31.0,327.88933415
5,1.0,shape,12,12,12,12,12,5,12,29.809556065743223,150.6032185,255.0801750833333,0.2823564007500181,2.5833333333333335,1.0,31.0,327.88933415
9,0.0,shape,12,12,12,12,12,0,12,204.68484237199883,142.70856725000002,239.88282191666664,0.500120437000002,3.1666666666666665,1.0,53.833333333333336,325.2973323
9,0.5,shape,12,12,12,12,12,5,12,29.809556065743223,150.6032185,255.0801750833333,0.5175310199166461,2.5833333333333335,1.0,53.833333333333336,327.88933415
9,1.0,shape,12,12,12,12,12,6,12,26.967460719359035,156.0521889166667,269.74670325,0.6049606789999871,2.5,1.0,53.833333333333336,340.007497
