method,episodes,available,guaranteed,received,contains_truth,clear_ready,completed,mean_posterior_radius_m,mean_second_action_s,mean_total_virtual_s,mean_selection_s,mean_measures,mean_clear_attempts,mean_evaluated_candidates,p95_total_virtual_s
on_bearing,120,120,120,120,120,7,120,256.5115728826715,155.0,269.93016406666663,0.009810270133344071,3.05,1.0,1.0,330.90249144999996
fixed_flank,120,120,120,120,120,49,120,26.011079000836396,179.92855700000004,315.954418875,0.01015394452498981,2.6,1.0,1.0,369.67997579999997
current,120,120,120,120,120,42,120,34.521893239873314,155.22314369166668,269.00562083333335,1.1627514095166627,2.65,1.0,128.99166666666667,337.2211297
shape,120,120,120,120,120,40,120,38.203404538317166,154.37955420833333,263.2670618166666,0.280489020916671,2.6666666666666665,1.0,31.0,333.65632954999995
