model,N,episodes,completed,total_sources,mean_T_s,mean_T_per_N_s,p95_T_s,evidence
q4_final,10,1000,1000,10000,9971.694372527,997.1694372527,12257.8737609,runs/q4_final_best_counts_20260913/evaluation/N10_samples.json
q4_final,11,1000,1000,11000,10008.586821601,909.8715292364545,12230.1224477,runs/q4_final_best_counts_20260913/evaluation/N11_samples.json
q4_final,12,1000,1000,12000,10042.788792243,836.89906602025,12602.86280385,runs/q4_final_best_counts_20260913/evaluation/N12_samples.json
q4_final,13,1000,1000,13000,10082.011196549,775.5393228114615,12777.789402099996,runs/q4_final_best_counts_20260913/evaluation/N13_samples.json
q4_final,14,1000,1000,14000,10076.50196161,719.750140115,12923.1197601,runs/q4_final_best_counts_20260913/evaluation/N14_samples.json
q4_final,15,1000,1000,15000,10160.012090471,677.3341393647333,13665.87539585,runs/q4_final_best_counts_20260913/evaluation/N15_samples.json
q4_final,16,1000,1000,16000,7166.792343862001,447.92452149137506,12805.513888799998,runs/q4_final_best_counts_20260913/evaluation/N16_samples.json
