seed,N,baseline_s,candidate_s,delta_s,baseline_per_source_s,candidate_per_source_s
1830000000,12,9679.852398,9696.88704,17.034641999998712,806.6543665,808.0739199999999
1830000001,16,4902.917125,5033.675242,130.7581170000003,306.4323203125,314.604702625
1830000002,12,10125.944545,10684.665152,558.7206069999993,843.8287120833334,890.3887626666666
1830000003,13,11764.83379,12545.781679,780.9478889999991,904.9872146153847,965.0601291538461
1830000004,13,9323.924978,9381.506565,57.58158700000058,717.2249983076922,721.6543511538462
1830000005,13,9276.882528,9353.649599,76.76707100000021,713.6063483076923,719.5115076153846
1830000006,10,8671.442979,8660.431844,-11.01113499999883,867.1442979,866.0431844000001
1830000007,13,9950.74499,9916.867391,-33.877598999999464,765.4419223076923,762.8359531538462
1830000008,13,9342.137999,9185.668638,-156.4693610000013,718.625999923077,706.5898952307691
1830000009,16,13152.772012,9712.420602,-3440.3514099999993,822.04825075,607.026287625
1830000010,13,8521.581274,8667.259385,145.67811099999926,655.5062518461539,666.7122603846153
1830000011,13,10162.601678,10298.500226,135.8985479999992,781.7385906153847,792.1923250769231
1830000012,11,10212.603038,10059.084767,-153.518270999999,928.418458,914.4622515454546
1830000013,10,10236.337867,10305.772432,69.43456499999957,1023.6337867,1030.5772431999999
1830000014,13,9431.33939,10388.622693,957.2833030000002,725.4876453846153,799.1248225384614
1830000015,10,11524.361193,10150.801612,-1373.5595810000013,1152.4361193,1015.0801611999999
1830000016,16,5140.75472,5240.581717,99.82699700000012,321.29717,327.5363573125
1830000017,15,10477.367013,10341.041844,-136.32516899999973,698.4911341999999,689.4027896
1830000018,13,8379.708933,8379.708933,0.0,644.5929948461538,644.5929948461538
1830000019,11,10240.755887,10240.755887,0.0,930.9778079090909,930.9778079090909
1830000020,12,9341.568872,9646.769134,305.2002620000003,778.4640726666667,803.8974278333334
1830000021,14,14013.120021,14911.431329,898.3113079999985,1000.9371443571429,1065.1022377857141
1830000022,15,8667.272447,8626.87959,-40.39285699999891,577.8181631333333,575.125306
1830000023,16,10361.706602,10204.050911,-157.65569099999993,647.606662625,637.7531819375
1830000024,14,11112.117098,10947.594641,-164.52245700000094,793.7226498571429,781.9710457857143
1830000025,15,10299.220436,10144.218251,-155.00218499999937,686.6146957333333,676.2812167333334
1830000026,14,9039.63023,9005.012582,-34.61764800000128,645.6878735714287,643.2151844285714
1830000027,15,17593.528242,16590.530894,-1002.9973480000008,1172.9018828,1106.0353929333332
1830000028,14,10173.997472,10063.698878,-110.29859399999987,726.7141051428571,718.8356341428571
1830000029,15,9684.503446,9684.503446,0.0,645.6335630666667,645.6335630666667
1830000030,16,4278.745767,4278.745767,0.0,267.4216104375,267.4216104375
1830000031,13,9067.615137,9084.79388,17.178742999998576,697.5088566923077,698.8302984615384
1830000032,16,5670.193862,5013.216044,-656.9778180000003,354.387116375,313.32600275
1830000033,10,9636.396523,9636.396523,0.0,963.6396523,963.6396523
1830000034,14,8730.678027,8446.167674,-284.51035299999967,623.6198590714286,603.297691
1830000035,13,9235.973674,9329.028437,93.0547630000001,710.4595133846154,717.6175720769231
1830000036,13,9617.788726,9373.088505,-244.70022100000097,739.8299020000001,721.0068080769231
1830000037,10,11048.354713,9951.940766,-1096.413947000001,1104.8354713,995.1940766
1830000038,11,8636.428405,8636.428405,0.0,785.129855,785.129855
1830000039,14,12883.797764,14779.922014,1896.124249999999,920.2712688571429,1055.7087152857143
1830000040,13,9505.958041,9136.407067,-369.55097399999977,731.2275416153846,702.8005436153846
1830000041,10,9722.322166,9912.901287,190.57912100000067,972.2322166,991.2901287000001
1830000042,14,10197.573177,10384.690247,187.11707000000024,728.3980840714286,741.7635890714286
1830000043,12,9802.263308,9804.351059,2.087751000000935,816.8552756666667,817.0292549166667
1830000044,10,9737.354119,9830.431568,93.07744900000034,973.7354118999999,983.0431568
1830000045,12,11789.131769,11756.746762,-32.38500699999895,982.4276474166667,979.7288968333334
1830000046,14,7933.073297,7933.073297,0.0,566.6480926428571,566.6480926428571
1830000047,16,9413.491724,11356.120481,1942.6287570000004,588.34323275,709.7575300625
1830000048,10,10564.664951,10564.664951,0.0,1056.4664951,1056.4664951
1830000049,10,9497.765841,9837.853898,340.088056999999,949.7765841,983.7853898
1830000050,15,8202.708927,8487.91894,285.2100129999999,546.8472618,565.8612626666667
1830000051,13,13741.186607,15272.713247,1531.52664,1057.0143543846154,1174.8240959230768
1830000052,12,10138.946501,10591.799718,452.85321699999986,844.9122084166667,882.6499765
1830000053,14,9487.491092,9192.799034,-294.69205800000054,677.6779351428571,656.6285024285714
1830000054,10,9504.933662,9504.933662,0.0,950.4933662,950.4933662
1830000055,13,9677.935836,9791.014441,113.07860499999879,744.4566027692308,753.154957
1830000056,15,10725.814393,10636.45877,-89.35562300000129,715.0542928666667,709.0972513333332
1830000057,15,8888.301016,8888.301016,0.0,592.5534010666667,592.5534010666667
1830000058,13,8185.655397,8177.606298,-8.049099000000751,629.6657997692308,629.0466383076923
